"","pre_full","post_full","full_var_psu","full_var_stratum","religion","age_election_day","marriage","educ","race_ethnicity","gender","income","poli_party_reg","poli_party_self_7pt","lib_con_7pt","pres_vote","harris_thermometer_pre","trump_thermometer_pre","biden_thermometer_pre","vance_thermometer_pre","democrat_thermometer_pre","republican_thermometer_pre","budget_social_security","budget_public_schools","budget_border_security","budget_crime","budget_welfare","budget_highways","budget_aid_poor","budget_environment","colleges_run","dei","abortion","death_penalty","us_world_involvement","international_force","voting_id","voting_felons","journalists","climate_inc_temps","paid_leave","transgender_bathrooms","transgender_sports","lgbt_discrimination","lgbt_adoption","gay_marriage_view","gay_marriage","birthright_citizenship","children_immigrants","mexico_wall","ukraine_russia","israel","palestine_aid","israel_palestine","gaza_protests","political_violence","harris_thermometer_post","trump_thermometer_post","walz_thermometer_post","vance_thermometer_post","biden_thermometer_post","christian_fundamentalists_thermometer","feminists_thermometer","liberals_thermometer","labor_unions_thermometer","big_business_thermometer","conservatives_thermometer","supreme_court_thermometer","lgbt_thermometer","congress_thermometer","muslims_thermometer","christians_thermometer","maga_thermometer","jews_thermometer","police_thermometer","transgender_thermometer","blm_thermometer","nra_thermometer","fbi_thermometer","rural_thermometer","planned_parenthood_thermometer","import_limits","immigration_levels","immigration_jobs","immigration_crime","immigration_citizenship","immigration_economy","immigration_customs","hiring_black","affirmative_action","gov_involvement","gov_regulation","income_inequality","equal_opportunity","gender_roles","budget_deficit","tax_millionaires","vaccines_schools","climate_temps","climate_regulate_emissions","gun_difficulty","gun_background_checks","gun_ban_assault_rifles","opioid_epidemic","police_force","free_trade","diversity","federal_min_wage","budget_healthcare","vaccines","sexual_harassment","transgender_military","china_threat","russia_threat","mexico_threat","iran_threat","japan_threat","israel_threat","asian_thermometer","hispanic_thermometer","black_thermometer","illegal_immigrant_thermometer","white_thermometer"
"1701",1.24607287750294,1.18696914497376,2,119,10,77,4,4,4,2,4,-1,2,4,1,90,0,60,-9,85,15,3,1,2,3,3,3,3,1,4,4,4,1,3,5,1,4,4,4,4,4,4,1,2,-1,1,1,6,4,6,4,4,8,4,1,100,0,60,50,40,50,80,70,70,50,55,50,50,40,50,50,40,50,90,50,50,40,80,75,80,2,5,1,2,3,4,2,4,4,5,5,3,2,4,3,3,2,4,1,3,2,7,4,2,4,1,2,4,2,3,3,2,4,2,3,1,2,95,85,75,0,80
"1702",0.938054375905755,0.999159561801974,1,100,2,39,6,2,1,1,4,-1,7,7,2,0,100,0,85,15,88,1,1,1,2,5,5,3,3,7,6,3,1,1,2,1,2,6,7,2,7,1,4,6,3,-1,1,1,1,7,7,4,8,5,1,0,100,0,100,0,60,40,15,100,50,70,70,0,70,15,85,100,50,100,0,0,100,50,100,50,1,5,2,2,3,4,5,4,5,4,7,4,2,1,1,3,7,2,4,2,3,7,2,2,4,3,2,6,7,3,7,3,3,1,3,2,3,50,85,-9,0,100
"1703",1.83897599467684,1.80116213719883,1,118,2,33,6,3,1,1,5,2,7,5,-1,0,100,0,100,0,100,1,2,1,1,5,1,3,3,6,7,3,1,2,3,1,2,4,7,1,7,1,1,3,1,-1,4,5,1,7,2,6,2,6,1,0,100,0,100,0,60,30,30,50,50,85,85,100,15,100,100,100,100,100,30,0,100,0,100,0,1,5,3,1,1,4,4,4,5,4,6,7,3,1,1,3,7,1,4,3,6,6,1,2,2,2,2,2,6,1,7,5,4,3,5,1,2,100,100,100,0,100
"1704",0.513499194788993,0.49949568732962,1,109,1,51,1,4,1,1,5,2,6,6,2,15,60,30,60,40,60,3,1,2,1,4,3,4,3,6,6,1,2,2,3,1,3,4,4,3,7,2,1,5,-1,7,4,5,4,3,2,3,4,7,1,15,60,30,50,15,85,30,85,70,60,70,50,60,40,40,85,30,85,85,30,15,70,85,60,70,4,5,3,1,3,5,4,4,5,2,6,6,4,4,1,1,1,2,2,3,1,7,4,3,4,5,2,3,1,2,4,3,3,1,3,1,1,70,70,70,15,70
"1705",1.13139443243115,1.13622893147692,2,98,2,38,4,3,3,2,3,-1,1,4,-1,40,15,0,50,70,60,1,1,1,2,5,3,3,3,1,4,2,1,4,1,1,7,7,4,4,7,1,1,1,1,-1,7,6,7,7,7,7,8,4,1,0,0,50,85,0,50,50,50,50,50,50,60,50,60,50,50,60,50,30,50,40,50,70,50,85,1,3,1,3,1,1,5,4,4,6,3,6,3,4,1,1,4,3,7,1,1,1,1,3,7,3,1,1,1,5,4,5,5,3,5,3,5,50,50,50,50,50
"1706",3.0959955474668,3.31365702447385,1,121,11,35,1,2,1,1,5,2,7,6,2,0,85,0,-9,0,85,1,1,1,1,5,1,3,3,6,4,2,2,3,3,2,5,4,4,1,7,1,4,6,-1,7,4,2,2,6,4,4,8,4,1,0,100,-9,100,0,-9,50,0,0,50,-9,-9,40,-9,50,100,100,50,100,0,0,100,50,50,0,1,5,1,2,2,7,5,4,5,5,7,4,2,4,1,2,1,1,4,3,4,7,2,3,4,3,2,7,4,3,6,3,3,3,3,3,3,50,15,50,0,100
"1707",0.654501171596641,0.60792902582873,2,111,1,67,1,5,1,2,5,-1,7,6,2,0,70,0,70,0,85,3,3,1,2,3,3,3,3,4,7,1,3,4,3,1,4,4,4,4,7,1,2,6,-1,7,4,6,1,4,1,4,3,7,1,0,85,0,100,0,85,30,0,50,90,95,90,0,75,0,95,100,100,70,0,50,85,30,100,0,1,3,3,1,1,4,4,4,7,2,4,4,3,2,2,3,6,2,4,3,2,4,1,3,2,1,2,4,7,2,6,5,4,3,5,3,1,100,100,-9,35,100
"1708",0.475427316943496,0.5031567844041,2,121,10,40,1,4,1,1,5,4,3,4,1,95,0,95,0,75,0,3,1,3,3,2,1,2,1,4,1,4,3,2,3,5,1,7,1,1,2,6,1,1,-1,1,4,6,7,1,3,1,4,4,1,85,0,100,0,85,0,100,85,85,40,15,30,100,40,100,85,0,100,85,70,85,0,70,85,85,3,3,4,4,3,3,3,3,4,2,4,6,1,4,3,1,1,4,2,1,1,1,2,2,4,3,1,2,1,5,1,3,4,1,2,1,2,85,85,85,50,-9
"1709",0.93860511276128,0.949792435471188,1,110,9,45,1,5,1,2,6,1,1,2,1,85,0,75,0,85,0,2,1,4,5,1,1,1,1,6,1,4,4,4,3,7,1,7,1,1,1,7,1,1,1,-1,5,6,7,1,7,1,5,1,1,85,0,100,0,70,0,100,85,85,40,0,30,100,30,85,0,0,70,30,100,100,0,50,40,100,3,2,4,4,1,1,2,1,1,5,1,7,1,4,3,1,1,5,1,1,1,1,1,4,2,2,1,1,1,5,1,3,3,1,3,1,2,85,85,85,85,50
"1710",0.310591618695554,0.319664439088756,2,85,10,80,4,5,1,1,3,1,1,2,1,85,5,85,60,75,0,1,1,1,1,3,1,1,1,4,4,4,4,3,4,1,4,1,1,4,1,4,1,5,1,-1,4,5,7,4,4,1,4,4,1,80,0,50,50,70,0,50,50,70,60,0,15,50,0,30,30,30,50,70,60,70,15,50,50,100,3,3,3,6,1,2,4,-2,4,5,4,4,1,4,2,1,1,4,1,1,1,-2,1,2,1,1,1,1,1,2,2,3,4,2,4,1,3,50,50,50,60,50
